no,id,foreign,name,lat,long
160,3201,32,KABUPATEN BOGOR,-6.6,106.8
161,3202,32,KABUPATEN SUKABUMI,-6.92405,106.922203
164,3205,32,KABUPATEN GARUT,-7.227906,107.908699
160,3201,32,KABUPATEN BOGOR,-6.6,106.8
165,3206,32,KABUPATEN TASIKMALAYA,-7.327953999999999,108.214104
172,3213,32,KABUPATEN SUBANG,-6.569361,107.752403
171,3212,32,KABUPATEN INDRAMAYU,-6.336315,108.32510400000001
176,3217,32,KABUPATEN BANDUNG BARAT,-6.8937121,107.4321959
163,3204,32,KABUPATEN BANDUNG,-6.9147444,107.6098111
180,3273,32,KOTA BANDUNG,-6.9147444,107.6098111
182,3275,32,KOTA BEKASI,-6.2333333,107.0
175,3216,32,KABUPATEN BEKASI,-6.2333333,107.0
162,3203,32,KABUPATEN CIANJUR,-6.8172531,107.13072890000001
166,3207,32,KABUPATEN CIAMIS,-7.3333333,108.35
168,3209,32,KABUPATEN CIREBON,-6.715534,108.564003
174,3215,32,KABUPATEN KARAWANG,-6.3227303,107.3375791
